pokedex_number,name,german_name,japanese_name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden
150,Mewtwo,Mewtu,ミュウツー (Mewtwo),1,Legendary,Genetic Pokémon,Psychic,,2,122,Pressure,,Unnerve
150,Mega Mewtwo X,Mewtu,ミュウツー (Mewtwo),1,Legendary,Genetic Pokémon,Psychic,Fighting,2.3,127,Steadfast,,
150,Mega Mewtwo Y,Mewtu,ミュウツー (Mewtwo),1,Legendary,Genetic Pokémon,Psychic,,1.5,33,Insomnia,,
151,Mew,Mew,ミュウ (Mew),1,Mythical,New Species Pokémon,Psychic,,0.4,4,Synchronize,,
152,Chikorita,Endivie,チコリータ (Chicorita),2,Normal,Leaf Pokémon,Grass,,0.9,6.4,Overgrow,,Leaf Guard
153,Bayleef,Lorblatt,ベイリーフ (Bayleaf),2,Normal,Leaf Pokémon,Grass,,1.2,15.8,Overgrow,,Leaf Guard
154,Meganium,Meganie,メガニウム (Meganium),2,Normal,Herb Pokémon,Grass,,1.8,100.5,Overgrow,,Leaf Guard
155,Cyndaquil,Feurigel,ヒノアラシ (Hinoarashi),2,Normal,Fire Mouse Pokémon,Fire,,0.5,7.9,Blaze,,Flash Fire
156,Quilava,Igelavar,マグマラシ (Magmarashi),2,Normal,Volcano Pokémon,Fire,,0.9,19,Blaze,,Flash Fire
157,Typhlosion,Tornupto,バクフーン (Bakphoon),2,Normal,Volcano Pokémon,Fire,,1.7,79.5,Blaze,,Flash Fire
158,Totodile,Karnimani,ワニノコ (Waninoko),2,Normal,Big Jaw Pokémon,Water,,0.6,9.5,Torrent,,Sheer Force
159,Croconaw,Tyracroc,アリゲイツ (Alligates),2,Normal,Big Jaw Pokémon,Water,,1.1,25,Torrent,,Sheer Force
160,Feraligatr,Impergator,オーダイル (Ordile),2,Normal,Big Jaw Pokémon,Water,,2.3,88.8,Torrent,,Sheer Force
161,Sentret,Wiesor,オタチ (Otachi),2,Normal,Scout Pokémon,Normal,,0.8,6,Run Away,Keen Eye,Frisk
162,Furret,Wiesenior,オオタチ (Ootachi),2,Normal,Long Body Pokémon,Normal,,1.8,32.5,Run Away,Keen Eye,Frisk
163,Hoothoot,Hoothoot,ホーホー (Hoho),2,Normal,Owl Pokémon,Normal,Flying,0.7,21.2,Insomnia,Keen Eye,Tinted Lens
164,Noctowl,Noctuh,ヨルノズク (Yorunozuku),2,Normal,Owl Pokémon,Normal,Flying,1.6,40.8,Insomnia,Keen Eye,Tinted Lens
165,Ledyba,Ledyba,レディバ (Rediba),2,Normal,Five Star Pokémon,Bug,Flying,1,10.8,Swarm,Early Bird,Rattled
166,Ledian,Ledian,レディアン (Redian),2,Normal,Five Star Pokémon,Bug,Flying,1.4,35.6,Swarm,Early Bird,Iron Fist
167,Spinarak,Webarak,イトマル (Itomaru),2,Normal,String Spit Pokémon,Bug,Poison,0.5,8.5,Swarm,Insomnia,Sniper
168,Ariados,Ariados,アリアドス (Ariados),2,Normal,Long Leg Pokémon,Bug,Poison,1.1,33.5,Swarm,Insomnia,Sniper
169,Crobat,Iksbat,クロバット (Crobat),2,Normal,Bat Pokémon,Poison,Flying,1.8,75,Inner Focus,,Infiltrator
170,Chinchou,Lampi,チョンチー (Chonchie),2,Normal,Angler Pokémon,Water,Electric,0.5,12,Volt Absorb,Illuminate,Water Absorb
171,Lanturn,Lanturn,ランターン (Lantern),2,Normal,Light Pokémon,Water,Electric,1.2,22.5,Volt Absorb,Illuminate,Water Absorb
172,Pichu,Pichu,ピチュー (Pichu),2,Normal,Tiny Mouse Pokémon,Electric,,0.3,2,Static,,Lightning Rod
173,Cleffa,Pii,ピィ (Py),2,Normal,Star Shape Pokémon,Fairy,,0.3,3,Cute Charm,Magic Guard,Friend Guard
174,Igglybuff,Fluffeluff,ププリン (Pupurin),2,Normal,Balloon Pokémon,Normal,Fairy,0.3,1,Cute Charm,Competitive,Friend Guard
175,Togepi,Togepi,トゲピー (Togepy),2,Normal,Spike Ball Pokémon,Fairy,,0.3,1.5,Hustle,Serene Grace,Super Luck
176,Togetic,Togetic,トゲチック (Togechick),2,Normal,Happiness Pokémon,Fairy,Flying,0.6,3.2,Hustle,Serene Grace,Super Luck
177,Natu,Natu,ネイティ (Naty),2,Normal,Tiny Bird Pokémon,Psychic,Flying,0.2,2,Synchronize,Early Bird,Magic Bounce
178,Xatu,Xatu,ネイティオ (Natio),2,Normal,Mystic Pokémon,Psychic,Flying,1.5,15,Synchronize,Early Bird,Magic Bounce
179,Mareep,Voltilamm,メリープ (Merriep),2,Normal,Wool Pokémon,Electric,,0.6,7.8,Static,,Plus
180,Flaaffy,Waaty,モココ (Mokoko),2,Normal,Wool Pokémon,Electric,,0.8,13.3,Static,,Plus
181,Ampharos,Ampharos,デンリュウ (Denryu),2,Normal,Light Pokémon,Electric,,1.4,61.5,Static,,Plus
181,Mega Ampharos,Ampharos,デンリュウ (Denryu),2,Normal,Light Pokémon,Electric,Dragon,1.4,61.5,Mold Breaker,,
182,Bellossom,Blubella,キレイハナ (Kireihana),2,Normal,Flower Pokémon,Grass,,0.4,5.8,Chlorophyll,,Healer
183,Marill,Marill,マリル (Maril),2,Normal,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,Thick Fat,Huge Power,Sap Sipper
184,Azumarill,Azumarill,マリルリ (Marilli),2,Normal,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,Thick Fat,Huge Power,Sap Sipper
185,Sudowoodo,Mogelbaum,ウソッキー (Usokkie),2,Normal,Imitation Pokémon,Rock,,1.2,38,Sturdy,Rock Head,Rattled
186,Politoed,Quaxo,ニョロトノ (Nyorotono),2,Normal,Frog Pokémon,Water,,1.1,33.9,Water Absorb,Damp,Drizzle
187,Hoppip,Hoppspross,ハネッコ (Hanecco),2,Normal,Cottonweed Pokémon,Grass,Flying,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator
188,Skiploom,Hubelupf,ポポッコ (Popocco),2,Normal,Cottonweed Pokémon,Grass,Flying,0.6,1,Chlorophyll,Leaf Guard,Infiltrator
189,Jumpluff,Papungha,ワタッコ (Watacco),2,Normal,Cottonweed Pokémon,Grass,Flying,0.8,3,Chlorophyll,Leaf Guard,Infiltrator
190,Aipom,Griffel,エイパム (Eipam),2,Normal,Long Tail Pokémon,Normal,,0.8,11.5,Run Away,Pickup,Skill Link
191,Sunkern,Sonnkern,ヒマナッツ (Himanuts),2,Normal,Seed Pokémon,Grass,,0.3,1.8,Chlorophyll,Solar Power,Early Bird
192,Sunflora,Sonnflora,キマワリ (Kimawari),2,Normal,Sun Pokémon,Grass,,0.8,8.5,Chlorophyll,Solar Power,Early Bird
193,Yanma,Yanma,ヤンヤンマ (Yanyanma),2,Normal,Clear Wing Pokémon,Bug,Flying,1.2,38,Speed Boost,Compound Eyes,Frisk
194,Wooper,Felino,ウパー (Upah),2,Normal,Water Fish Pokémon,Water,Ground,0.4,8.5,Damp,Water Absorb,Unaware
195,Quagsire,Morlord,ヌオー (Nuoh),2,Normal,Water Fish Pokémon,Water,Ground,1.4,75,Damp,Water Absorb,Unaware
196,Espeon,Psiana,エーフィ (Eifie),2,Normal,Sun Pokémon,Psychic,,0.9,26.5,Synchronize,,Magic Bounce
197,Umbreon,Nachtara,ブラッキー (Blacky),2,Normal,Moonlight Pokémon,Dark,,1,27,Synchronize,,Inner Focus
198,Murkrow,Kramurx,ヤミカラス (Yamikarasu),2,Normal,Darkness Pokémon,Dark,Flying,0.5,2.1,Insomnia,Super Luck,Prankster
199,Slowking,Laschoking,ヤドキング (Yadoking),2,Normal,Royal Pokémon,Water,Psychic,2,79.5,Oblivious,Own Tempo,Regenerator
199,Galarian Slowking,Laschoking,ヤドキング (Yadoking),8,Normal,Hexpert Pokémon,Poison,Psychic,1.8,79.5,Curious Medicine,Own Tempo,Regenerator
200,Misdreavus,Traunfugil,ムウマ (Muma),2,Normal,Screech Pokémon,Ghost,,0.7,1,Levitate,,
201,Unown,Icognito,アンノーン (Unknown),2,Normal,Symbol Pokémon,Psychic,,0.5,5,Levitate,,
202,Wobbuffet,Woingenau,ソーナンス (Sonans),2,Normal,Patient Pokémon,Psychic,,1.3,28.5,Shadow Tag,,Telepathy
203,Girafarig,Girafarig,キリンリキ (Kirinriki),2,Normal,Long Neck Pokémon,Normal,Psychic,1.5,41.5,Inner Focus,Early Bird,Sap Sipper
204,Pineco,Tannza,クヌギダマ (Kunugidama),2,Normal,Bagworm Pokémon,Bug,,0.6,7.2,Sturdy,,Overcoat
205,Forretress,Forstellka,フォレトス (Foretos),2,Normal,Bagworm Pokémon,Bug,Steel,1.2,125.8,Sturdy,,Overcoat
206,Dunsparce,Dummisel,ノコッチ (Nokocchi),2,Normal,Land Snake Pokémon,Normal,,1.5,14,Serene Grace,Run Away,Rattled
207,Gligar,Skorgla,グライガー (Gliger),2,Normal,FlyScorpion Pokémon,Ground,Flying,1.1,64.8,Hyper Cutter,Sand Veil,Immunity
208,Steelix,Stahlos,ハガネール (Haganeil),2,Normal,Iron Snake Pokémon,Steel,Ground,9.2,400,Rock Head,Sturdy,Sheer Force
208,Mega Steelix,Stahlos,ハガネール (Haganeil),2,Normal,Iron Snake Pokémon,Steel,Ground,10.5,740,Sand Force,,
209,Snubbull,Snubbull,ブルー (Bulu),2,Normal,Fairy Pokémon,Fairy,,0.6,7.8,Intimidate,Run Away,Rattled
210,Granbull,Granbull,グランブル (Granbulu),2,Normal,Fairy Pokémon,Fairy,,1.4,48.7,Intimidate,Quick Feet,Rattled
211,Qwilfish,Baldorfish,ハリーセン (Harysen),2,Normal,Balloon Pokémon,Water,Poison,0.5,3.9,Poison Point,Swift Swim,Intimidate
212,Scizor,Scherox,ハッサム (Hassam),2,Normal,Pincer Pokémon,Bug,Steel,1.8,118,Swarm,Technician,Light Metal
212,Mega Scizor,Scherox,ハッサム (Hassam),2,Normal,Pincer Pokémon,Bug,Steel,2,125,Technician,,
213,Shuckle,Pottrott,ツボツボ (Tsubotsubo),2,Normal,Mold Pokémon,Bug,Rock,0.6,20.5,Sturdy,Gluttony,Contrary
214,Heracross,Skaraborn,ヘラクロス (Heracros),2,Normal,Single Horn Pokémon,Bug,Fighting,1.5,54,Swarm,Guts,Moxie
214,Mega Heracross,Skaraborn,ヘラクロス (Heracros),2,Normal,Single Horn Pokémon,Bug,Fighting,1.7,62.5,Skill Link,,
215,Sneasel,Sniebel,ニューラ (Nyula),2,Normal,Sharp Claw Pokémon,Dark,Ice,0.9,28,Inner Focus,Keen Eye,Pickpocket
216,Teddiursa,Teddiursa,ヒメグマ (Himeguma),2,Normal,Little Bear Pokémon,Normal,,0.6,8.8,Pickup,Quick Feet,Honey Gather
217,Ursaring,Ursaring,リングマ (Ringuma),2,Normal,Hibernator Pokémon,Normal,,1.8,125.8,Guts,Quick Feet,Unnerve
218,Slugma,Schneckmag,マグマッグ (Magmag),2,Normal,Lava Pokémon,Fire,,0.7,35,Magma Armor,Flame Body,Weak Armor
219,Magcargo,Magcargo,マグカルゴ (Magcargot),2,Normal,Lava Pokémon,Fire,Rock,0.8,55,Magma Armor,Flame Body,Weak Armor
220,Swinub,Quiekel,ウリムー (Urimoo),2,Normal,Pig Pokémon,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,Thick Fat
221,Piloswine,Keifel,イノムー (Inomoo),2,Normal,Swine Pokémon,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,Thick Fat
222,Corsola,Corasonn,サニーゴ (Sunnygo),2,Normal,Coral Pokémon,Water,Rock,0.6,5,Hustle,Natural Cure,Regenerator
222,Galarian Corsola,Corasonn,サニーゴ (Sunnygo),2,Normal,Coral Pokémon,Ghost,,0.6,0.5,Weak Armor,,Cursed Body
223,Remoraid,Remoraid,テッポウオ (Teppouo),2,Normal,Jet Pokémon,Water,,0.6,12,Hustle,Sniper,Moody
224,Octillery,Octillery,オクタン (Okutank),2,Normal,Jet Pokémon,Water,,0.9,28.5,Suction Cups,Sniper,Moody
225,Delibird,Botogel,デリバード (Delibird),2,Normal,Delivery Pokémon,Ice,Flying,0.9,16,Vital Spirit,Hustle,Insomnia
226,Mantine,Mantax,マンタイン (Mantain),2,Normal,Kite Pokémon,Water,Flying,2.1,220,Swift Swim,Water Absorb,Water Veil
227,Skarmory,Panzaeron,エアームド (Airmd),2,Normal,Armor Bird Pokémon,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,Weak Armor
228,Houndour,Hunduster,デルビル (Delvil),2,Normal,Dark Pokémon,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,Unnerve
229,Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,Dark,Fire,1.4,35,Early Bird,Flash Fire,Unnerve
229,Mega Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,Dark,Fire,1.9,49.5,Solar Power,,
230,Kingdra,Seedraking,キングドラ (Kingdra),2,Normal,Dragon Pokémon,Water,Dragon,1.8,152,Swift Swim,Sniper,Damp
231,Phanpy,Phanpy,ゴマゾウ (Gomazou),2,Normal,Long Nose Pokémon,Ground,,0.5,33.5,Pickup,,Sand Veil
232,Donphan,Donphan,ドンファン (Donfan),2,Normal,Armor Pokémon,Ground,,1.1,120,Sturdy,,Sand Veil
233,Porygon2,Porygon2,ポリゴン２ (Porygon2),2,Normal,Virtual Pokémon,Normal,,0.6,32.5,Trace,Download,Analytic
234,Stantler,Damhirplex,オドシシ (Odoshishi),2,Normal,Big Horn Pokémon,Normal,,1.4,71.2,Intimidate,Frisk,Sap Sipper
235,Smeargle,Farbeagle,ドーブル (Doble),2,Normal,Painter Pokémon,Normal,,1.2,58,Own Tempo,Technician,Moody
236,Tyrogue,Rabauz,バルキー (Balkie),2,Normal,Scuffle Pokémon,Fighting,,0.7,21,Guts,Steadfast,Vital Spirit
237,Hitmontop,Kapoera,カポエラー (Kapoerer),2,Normal,Handstand Pokémon,Fighting,,1.4,48,Intimidate,Technician,Steadfast
238,Smoochum,Kussilla,ムチュール (Muchul),2,Normal,Kiss Pokémon,Ice,Psychic,0.4,6,Oblivious,Forewarn,Hydration
239,Elekid,Elekid,エレキッド (Elekid),2,Normal,Electric Pokémon,Electric,,0.6,23.5,Static,,Vital Spirit
240,Magby,Magby,ブビィ (Buby),2,Normal,Live Coal Pokémon,Fire,,0.7,21.4,Flame Body,,Vital Spirit
241,Miltank,Miltank,ミルタンク (Miltank),2,Normal,Milk Cow Pokémon,Normal,,1.2,75.5,Thick Fat,Scrappy,Sap Sipper
242,Blissey,Heiteira,ハピナス (Happinas),2,Normal,Happiness Pokémon,Normal,,1.5,46.8,Natural Cure,Serene Grace,Healer
243,Raikou,Raikou,ライコウ (Raikou),2,Sub Legendary,Thunder Pokémon,Electric,,1.9,178,Pressure,,Inner Focus
244,Entei,Entei,エンテイ (Entei),2,Sub Legendary,Volcano Pokémon,Fire,,2.1,198,Pressure,,Inner Focus
245,Suicune,Suicune,スイクン (Suicune),2,Sub Legendary,Aurora Pokémon,Water,,2,187,Pressure,,Inner Focus
246,Larvitar,Larvitar,ヨーギラス (Yogiras),2,Normal,Rock Skin Pokémon,Rock,Ground,0.6,72,Guts,,Sand Veil
247,Pupitar,Pupitar,サナギラス (Sanagiras),2,Normal,Hard Shell Pokémon,Rock,Ground,1.2,152,Shed Skin,,
248,Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,Rock,Dark,2,202,Sand Stream,,Unnerve
248,Mega Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,Rock,Dark,2.5,255,Sand Stream,,
249,Lugia,Lugia,ルギア (Lugia),2,Legendary,Diving Pokémon,Psychic,Flying,5.2,216,Pressure,,Multiscale
250,Ho-oh,Ho-Oh,ホウオウ (Houou),2,Legendary,Rainbow Pokémon,Fire,Flying,3.8,199,Pressure,,Regenerator
251,Celebi,Celebi,セレビィ (Celebi),2,Mythical,Time Travel Pokémon,Psychic,Grass,0.6,5,Natural Cure,,
252,Treecko,Geckarbor,キモリ (Kimori),3,Normal,Wood Gecko Pokémon,Grass,,0.5,5,Overgrow,,Unburden
253,Grovyle,Reptain,ジュプトル (Juptile),3,Normal,Wood Gecko Pokémon,Grass,,0.9,21.6,Overgrow,,Unburden
254,Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,Grass,,1.7,52.2,Overgrow,,Unburden
254,Mega Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,Grass,Dragon,1.9,55.2,Lightning Rod,,
255,Torchic,Flemmli,アチャモ (Achamo),3,Normal,Chick Pokémon,Fire,,0.4,2.5,Blaze,,Speed Boost
256,Combusken,Jungglut,ワカシャモ (Wakasyamo),3,Normal,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,Blaze,,Speed Boost
257,Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52,Blaze,,Speed Boost
257,Mega Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52,Speed Boost,,
258,Mudkip,Hydropi,ミズゴロウ (Mizugorou),3,Normal,Mud Fish Pokémon,Water,,0.4,7.6,Torrent,,Damp
259,Marshtomp,Moorabbel,ヌマクロー (Numacraw),3,Normal,Mud Fish Pokémon,Water,Ground,0.7,28,Torrent,,Damp
260,Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,Water,Ground,1.5,81.9,Torrent,,Damp
260,Mega Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,Water,Ground,1.9,102,Swift Swim,,
261,Poochyena,Fiffyen,ポチエナ (Pochiena),3,Normal,Bite Pokémon,Dark,,0.5,13.6,Run Away,Quick Feet,Rattled
262,Mightyena,Magnayen,グラエナ (Graena),3,Normal,Bite Pokémon,Dark,,1,37,Intimidate,Quick Feet,Moxie
263,Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,TinyRaccoon Pokémon,Normal,,0.4,17.5,Pickup,Gluttony,Quick Feet
263,Galarian Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,Tiny Raccoon Pokémon,Dark,Normal,0.4,17.5,Pickup,Gluttony,Quick Feet
264,Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,Normal,,0.5,32.5,Pickup,Gluttony,Quick Feet
264,Galarian Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,Dark,Normal,0.5,32.5,Pickup,Gluttony,Quick Feet
265,Wurmple,Waumpel,ケムッソ (Kemusso),3,Normal,Worm Pokémon,Bug,,0.3,3.6,Shield Dust,,Run Away
266,Silcoon,Schaloko,カラサリス (Karasalis),3,Normal,Cocoon Pokémon,Bug,,0.6,10,Shed Skin,,
267,Beautifly,Papinella,アゲハント (Agehunt),3,Normal,Butterfly Pokémon,Bug,Flying,1,28.4,Swarm,,Rivalry
268,Cascoon,Panekon,マユルド (Mayuld),3,Normal,Cocoon Pokémon,Bug,,0.7,11.5,Shed Skin,,
269,Dustox,Pudox,ドクケイル (Dokucale),3,Normal,Poison Moth Pokémon,Bug,Poison,1.2,31.6,Shield Dust,,Compound Eyes
270,Lotad,Loturzel,ハスボー (Hassboh),3,Normal,Water Weed Pokémon,Water,Grass,0.5,2.6,Swift Swim,Rain Dish,Own Tempo
271,Lombre,Lombrero,ハスブレロ (Hasubrero),3,Normal,Jolly Pokémon,Water,Grass,1.2,32.5,Swift Swim,Rain Dish,Own Tempo
272,Ludicolo,Kappalores,ルンパッパ (Runpappa),3,Normal,Carefree Pokémon,Water,Grass,1.5,55,Swift Swim,Rain Dish,Own Tempo
273,Seedot,Samurzel,タネボー (Taneboh),3,Normal,Acorn Pokémon,Grass,,0.5,4,Chlorophyll,Early Bird,Pickpocket
274,Nuzleaf,Blanas,コノハナ (Konohana),3,Normal,Wily Pokémon,Grass,Dark,1,28,Chlorophyll,Early Bird,Pickpocket
275,Shiftry,Tengulist,ダーテング (Dirteng),3,Normal,Wicked Pokémon,Grass,Dark,1.3,59.6,Chlorophyll,Early Bird,Pickpocket
276,Taillow,Schwalbini,スバメ (Subame),3,Normal,TinySwallow Pokémon,Normal,Flying,0.3,2.3,Guts,,Scrappy
277,Swellow,Schwalboss,オオスバメ (Ohsubame),3,Normal,Swallow Pokémon,Normal,Flying,0.7,19.8,Guts,,Scrappy
278,Wingull,Wingull,キャモメ (Camome),3,Normal,Seagull Pokémon,Water,Flying,0.6,9.5,Keen Eye,Hydration,Rain Dish
279,Pelipper,Pelipper,ペリッパー (Pelipper),3,Normal,Water Bird Pokémon,Water,Flying,1.2,28,Keen Eye,Drizzle,Rain Dish
280,Ralts,Trasla,ラルトス (Ralts),3,Normal,Feeling Pokémon,Psychic,Fairy,0.4,6.6,Synchronize,Trace,Telepathy
281,Kirlia,Kirlia,キルリア (Kirlia),3,Normal,Emotion Pokémon,Psychic,Fairy,0.8,20.2,Synchronize,Trace,Telepathy
282,Gardevoir,Guardevoir,サーナイト (Sirnight),3,Normal,Embrace Pokémon,Psychic,Fairy,1.6,48.4,Synchronize,Trace,Telepathy
282,Mega Gardevoir,Guardevoir,サーナイト (Sirnight),3,Normal,Embrace Pokémon,Psychic,Fairy,1.6,48.4,Pixilate,,
283,Surskit,Gehweiher,アメタマ (Ametama),3,Normal,Pond Skater Pokémon,Bug,Water,0.5,1.7,Swift Swim,,Rain Dish
284,Masquerain,Maskeregen,アメモース (Amemoth),3,Normal,Eyeball Pokémon,Bug,Flying,0.8,3.6,Intimidate,,Unnerve
285,Shroomish,Knilz,キノココ (Kinococo),3,Normal,Mushroom Pokémon,Grass,,0.4,4.5,Effect Spore,Poison Heal,Quick Feet
286,Breloom,Kapilz,キノガッサ (Kinogassa),3,Normal,Mushroom Pokémon,Grass,Fighting,1.2,39.2,Effect Spore,Poison Heal,Technician
287,Slakoth,Bummelz,ナマケロ (Namakero),3,Normal,Slacker Pokémon,Normal,,0.8,24,Truant,,
288,Vigoroth,Muntier,ヤルキモノ (Yarukimono),3,Normal,Wild Monkey Pokémon,Normal,,1.4,46.5,Vital Spirit,,
289,Slaking,Letarking,ケッキング (Kekking),3,Normal,Lazy Pokémon,Normal,,2,130.5,Truant,,
290,Nincada,Nincada,ツチニン (Tutinin),3,Normal,Trainee Pokémon,Bug,Ground,0.5,5.5,Compound Eyes,,Run Away
291,Ninjask,Ninjask,テッカニン (Tekkanin),3,Normal,Ninja Pokémon,Bug,Flying,0.8,12,Speed Boost,,Infiltrator
292,Shedinja,Ninjatom,ヌケニン (Nukenin),3,Normal,Shed Pokémon,Bug,Ghost,0.8,1.2,Wonder Guard,,
293,Whismur,Flurmel,ゴニョニョ (Gonyonyo),3,Normal,Whisper Pokémon,Normal,,0.6,16.3,Soundproof,,Rattled
294,Loudred,Krakeelo,ドゴーム (Dogohmb),3,Normal,Big Voice Pokémon,Normal,,1,40.5,Soundproof,,Scrappy
295,Exploud,Krawumms,バクオング (Bakuong),3,Normal,Loud Noise Pokémon,Normal,,1.5,84,Soundproof,,Scrappy
296,Makuhita,Makuhita,マクノシタ (Makunoshita),3,Normal,Guts Pokémon,Fighting,,1,86.4,Thick Fat,Guts,Sheer Force
297,Hariyama,Hariyama,ハリテヤマ (Hariteyama),3,Normal,Arm Thrust Pokémon,Fighting,,2.3,253.8,Thick Fat,Guts,Sheer Force
298,Azurill,Azurill,ルリリ (Ruriri),3,Normal,Polka Dot Pokémon,Normal,Fairy,0.2,2,Thick Fat,Huge Power,Sap Sipper
299,Nosepass,Nasgnet,ノズパス (Nosepass),3,Normal,Compass Pokémon,Rock,,1,97,Sturdy,Magnet Pull,Sand Force
300,Skitty,Eneco,エネコ (Eneco),3,Normal,Kitten Pokémon,Normal,,0.6,11,Cute Charm,Normalize,Wonder Skin
301,Delcatty,Enekoro,エネコロロ (Enekororo),3,Normal,Prim Pokémon,Normal,,1.1,32.6,Cute Charm,Normalize,Wonder Skin
302,Sableye,Zobiris,ヤミラミ (Yamirami),3,Normal,Darkness Pokémon,Dark,Ghost,0.5,11,Keen Eye,Stall,Prankster
302,Mega Sableye,Zobiris,ヤミラミ (Yamirami),3,Normal,Darkness Pokémon,Dark,Ghost,0.5,161,Magic Bounce,,
303,Mawile,Flunkifer,クチート (Kucheat),3,Normal,Deceiver Pokémon,Steel,Fairy,0.6,11.5,Hyper Cutter,Intimidate,Sheer Force
303,Mega Mawile,Flunkifer,クチート (Kucheat),3,Normal,Deceiver Pokémon,Steel,Fairy,1,23.5,Huge Power,,
304,Aron,Stollunior,ココドラ (Cokodora),3,Normal,Iron Armor Pokémon,Steel,Rock,0.4,60,Sturdy,Rock Head,Heavy Metal
305,Lairon,Stollrak,コドラ (Kodora),3,Normal,Iron Armor Pokémon,Steel,Rock,0.9,120,Sturdy,Rock Head,Heavy Metal
306,Aggron,Stolloss,ボスゴドラ (Bossgodora),3,Normal,Iron Armor Pokémon,Steel,Rock,2.1,360,Sturdy,Rock Head,Heavy Metal
306,Mega Aggron,Stolloss,ボスゴドラ (Bossgodora),3,Normal,Iron Armor Pokémon,Steel,,2.2,395,Filter,,
307,Meditite,Meditie,アサナン (Asanan),3,Normal,Meditate Pokémon,Fighting,Psychic,0.6,11.2,Pure Power,,Telepathy
308,Medicham,Meditalis,チャーレム (Charem),3,Normal,Meditate Pokémon,Fighting,Psychic,1.3,31.5,Pure Power,,Telepathy
308,Mega Medicham,Meditalis,チャーレム (Charem),3,Normal,Meditate Pokémon,Fighting,Psychic,1.3,31.5,Pure Power,,
309,Electrike,Frizelbliz,ラクライ (Rakurai),3,Normal,Lightning Pokémon,Electric,,0.6,15.2,Static,Lightning Rod,Minus
310,Manectric,Voltenso,ライボルト (Livolt),3,Normal,Discharge Pokémon,Electric,,1.5,40.2,Static,Lightning Rod,Minus
310,Mega Manectric,Voltenso,ライボルト (Livolt),3,Normal,Discharge Pokémon,Electric,,1.8,44,Intimidate,,
311,Plusle,Plusle,プラスル (Prasle),3,Normal,Cheering Pokémon,Electric,,0.4,4.2,Plus,,Lightning Rod
312,Minun,Minun,マイナン (Minun),3,Normal,Cheering Pokémon,Electric,,0.4,4.2,Minus,,Volt Absorb
313,Volbeat,Volbeat,バルビート (Barubeat),3,Normal,Firefly Pokémon,Bug,,0.7,17.7,Illuminate,Swarm,Prankster
314,Illumise,Illumise,イルミーゼ (Illumise),3,Normal,Firefly Pokémon,Bug,,0.6,17.7,Oblivious,Tinted Lens,Prankster
315,Roselia,Roselia,ロゼリア (Roselia),3,Normal,Thorn Pokémon,Grass,Poison,0.3,2,Natural Cure,Poison Point,Leaf Guard
316,Gulpin,Schluppuck,ゴクリン (Gokulin),3,Normal,Stomach Pokémon,Poison,,0.4,10.3,Liquid Ooze,Sticky Hold,Gluttony
317,Swalot,Schlukwech,マルノーム (Marunoom),3,Normal,Poison Bag Pokémon,Poison,,1.7,80,Liquid Ooze,Sticky Hold,Gluttony
318,Carvanha,Kanivanha,キバニア (Kibanha),3,Normal,Savage Pokémon,Water,Dark,0.8,20.8,Rough Skin,,Speed Boost
319,Sharpedo,Tohaido,サメハダー (Samehader),3,Normal,Brutal Pokémon,Water,Dark,1.8,88.8,Rough Skin,,Speed Boost
319,Mega Sharpedo,Tohaido,サメハダー (Samehader),3,Normal,Brutal Pokémon,Water,Dark,2.5,130.3,Strong Jaw,,
320,Wailmer,Wailmer,ホエルコ (Hoeruko),3,Normal,Ball Whale Pokémon,Water,,2,130,Water Veil,Oblivious,Pressure
321,Wailord,Wailord,ホエルオー (Whaloh),3,Normal,Float Whale Pokémon,Water,,14.5,398,Water Veil,Oblivious,Pressure
